loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,Address
26500, 36 months,11.75,877.02,B,B4,Driver,2 years,MORTGAGE,44561.42,Source Verified,Nov-2018,Fully Paid,small_business,Business,32.46,May-2014,8,0,7810.5,39.9,20,w,Individual,0.0,1.0,"5089 Main St
IN 59040"
8000, 60 months,6.28,155.71,B,B4,Mechanic,10+ years,OWN,36271.25,Source Verified,Feb-2015,Fully Paid,debt_consolidation,Debt consolidation,18.05,Jan-2013,5,0,35231.25,46.6,19,f,Individual,3.0,,"3774 Main St
MO 68715"
36500, 60 months,8.89,755.73,B,B1,Operations Manager,10+ years,MORTGAGE,38986.47,Not Verified,Aug-2016,Fully Paid,small_business,Business,8.14,Oct-2006,9,0,16186.53,72.3,21,f,Individual,3.0,1.0,"6055 Main St
DC 26309"
31000, 36 months,3.21,904.39,B,B5,Chef,4 years,MORTGAGE,81190.92,Source Verified,May-2016,Charged Off,debt_consolidation,Debt consolidation,49.0,Sep-2008,11,0,105345.08,45.1,32,w,Joint App,8.0,0.0,"7136 Main St
HI 42292"
11000, 60 months,4.98,207.48,A,A4,Security Officer,5 years,OWN,257525.73,Source Verified,Jun-2019,Fully Paid,house,Home buying,16.9,Feb-1986,9,0,10371.73,47.9,23,f,Individual,2.0,0.0,"8295 Main St
ME 23248"
38000, 60 months,24.3,1099.81,F,F4,Operations Manager,6 years,MORTGAGE,100541.2,Not Verified,Jan-2019,Charged Off,debt_consolidation,Debt consolidation,24.15,May-2015,9,0,14599.37,26.8,25,f,Individual,3.0,0.0,"5559 Main St
SC 92295"
38000, 36 months,12.45,1270.33,C,C3,Nurse,4 years,RENT,43986.37,Verified,May-2020,Fully Paid,home_improvement,Home improvement,17.92,Jun-2014,10,0,7102.64,42.0,21,f,Individual,2.0,0.0,"5234 Main St
KS 51853"
12500, 36 months,11.03,409.41,A,A2,Retail,9 years,MORTGAGE,37814.4,Verified,Jul-2015,Fully Paid,credit_card,Credit card refinancing,17.99,Jul-2003,17,0,25719.49,11.6,30,w,Individual,0.0,0.0,"3298 Main St
WY 63920"
2000, 60 months,6.42,39.06,B,B2,Clerk,< 1 year,RENT,36292.21,Verified,Jul-2017,Fully Paid,credit_card,Credit card refinancing,12.17,Dec-2003,10,0,13527.46,60.1,27,f,Joint App,5.0,1.0,"922 Main St
MI 31191"
11500, 36 months,14.46,395.62,C,C1,Business Analyst,10+ years,OWN,236490.94,Not Verified,Mar-2015,Fully Paid,debt_consolidation,Debt consolidation,44.32,Jul-1987,15,0,7628.62,53.0,29,w,Individual,5.0,0.0,"7716 Main St
CT 69261"
27000, 60 months,13.57,622.24,C,C2,Accountant,4 years,MORTGAGE,103540.66,Source Verified,Apr-2016,Fully Paid,debt_consolidation,Debt consolidation,13.29,Feb-2002,9,3,9611.74,60.7,19,f,Individual,0.0,0.0,"2094 Main St
ID 11228"
1500, 36 months,3.64,44.05,A,A5,Consultant,10+ years,OWN,76651.76,Not Verified,Jan-2018,Fully Paid,debt_consolidation,Debt consolidation,13.04,May-2014,4,0,35266.93,28.1,11,w,Joint App,,0.0,"206 Main St
MT 77397"
15500, 36 months,26.42,627.98,F,F3,Clerk,6 years,RENT,119087.07,Source Verified,Feb-2015,Fully Paid,credit_card,Credit card refinancing,14.37,May-1993,14,0,1221.5,41.8,22,w,Individual,2.0,1.0,"3603 Main St
AK 38922"
19500, 36 months,7.59,607.38,B,B1,Director,10+ years,OTHER,91454.19,Verified,Mar-2016,Fully Paid,wedding,Wedding,15.24,Apr-1986,14,0,2351.99,31.3,27,w,Individual,4.0,0.0,"306 Main St
GA 76060"
1500, 36 months,6.75,46.14,A,A2,IT Manager,10+ years,MORTGAGE,16274.13,Verified,Nov-2018,Fully Paid,home_improvement,Home improvement,15.65,Feb-1986,6,0,7351.75,27.6,12,w,Individual,4.0,0.0,"2574 Main St
CA 25829"
32500, 60 months,8.92,673.39,A,A2,General Manager,4 years,MORTGAGE,32130.12,Not Verified,Apr-2018,Fully Paid,other,Other,16.83,Sep-2000,11,0,27828.23,57.7,23,w,Individual,1.0,0.0,"806 Main St
FL 13465"
30500, 60 months,12.45,685.41,C,C3,Security Officer,9 years,MORTGAGE,119856.13,Verified,Apr-2016,Charged Off,home_improvement,Home improvement,12.39,Feb-2005,6,0,2489.72,69.0,11,f,Joint App,2.0,1.0,"3582 Main St
AL 66062"
11000, 36 months,4.44,326.92,A,A1,Director,8 years,RENT,220869.52,Source Verified,Jul-2018,Fully Paid,credit_card,Credit card refinancing,18.9,May-1998,14,0,7353.45,24.2,26,w,Individual,1.0,0.0,"6575 Main St
IL 35600"
17000, 36 months,7.1,525.69,A,A3,Police Officer,6 years,RENT,133850.99,Verified,Nov-2019,Fully Paid,major_purchase,Major purchase,24.38,May-1994,8,0,3647.67,29.0,25,w,Individual,3.0,0.0,"9250 Main St
LA 17030"
38500, 60 months,11.49,846.52,B,B1,Sales,6 years,RENT,58406.86,Verified,Jan-2015,Fully Paid,debt_consolidation,Debt consolidation,10.6,May-2011,9,0,139618.57,50.5,23,w,Individual,1.0,1.0,"7680 Main St
IN 38836"
29500, 36 months,9.35,942.9,C,C2,Police Officer,4 years,MORTGAGE,82012.73,Verified,Nov-2019,Charged Off,debt_consolidation,Debt consolidation,39.85,Feb-2015,13,0,12167.93,34.3,30,w,Individual,6.0,0.0,"7524 Main St
NY 51225"
11500, 36 months,4.09,339.99,A,A3,CFO,4 years,RENT,33965.64,Not Verified,Mar-2019,Fully Paid,debt_consolidation,Debt consolidation,7.08,Aug-1985,18,0,5206.52,25.7,32,w,Individual,,0.0,"197 Main St
FL 63401"
25000, 36 months,9.69,803.05,B,B3,Sales,7 years,MORTGAGE,77906.31,Verified,Jan-2017,Fully Paid,credit_card,Credit card refinancing,15.7,Sep-1986,10,0,17170.19,42.8,23,w,Individual,1.0,0.0,"7542 Main St
NC 78195"
